target,source
is there a limit on how much i can top up?,top_up_limits _ is | how | much | there | on | a | top
is the top-up amount unlimited?,top_up_limits _ unlimited? | is | the
is there a maximum for top-ups?,top_up_limits _ top-ups? | is | a | maximum
what's the top-up limit?,top_up_limits _ what's | top-up
can i set my own top-up limit?,top_up_limits _ i | own | my | limit?
what should i do?  i topped off but the app reversed  it.,top_up_reverted _ do? | off | but | reversed | i |  | the | should | what
what happened to the money that i deposited?,top_up_reverted _ money | what | the | happened | that
my money is gone. i had topped up recently and saw it was there and went through but now it's disappeared what's going on?,top_up_reverted _ gone. | it's | there | what's | and | is | disappeared | was | on? | my | going | and | recently | topped | it | went
i thought crypto top up with something you offer. this is not working. the money has been deducted from my account. can you find out what's going on?,top_up_reverted _ this | going | up | with | has | account. | crypto | find | top | i | from | you | thought | deducted | the | my | working. | is | on?
i put some money in my account the other day but now its gone? why is this?,top_up_reverted _ my | day | account | money | in | i | why | other | its | gone? | the
my top up is not showing up in my wallet!,topping_up_by_card _ in | is | top | up | up | not | my
i can not see my top up,topping_up_by_card _ see | i | can | my
is it possible to top up by card?,topping_up_by_card _ top | is | to | up | by
am i the only one who can top-up my account?,topping_up_by_card _ my | the | am | who | only | top-up | i
is it possible to transfer money to my credit card?,topping_up_by_card _ possible | my | credit | money | to | it | to
there were two of the same charge to my account,transaction_charged_twice _ the | two | my | to | account | charge | same
i have two of the same charges on my account!,transaction_charged_twice _ my | have | of | same | the | account! | charges
transaction showing up many times.,transaction_charged_twice _ transaction | up | times.
i was charged twice for an in-store purchase that i thought was declined.  my app says that it's still pending for one of the payments. please make sure one of the charges is removed.,transaction_charged_twice _ it's | of | pending | i | one | that | charges |  | my | charged | please | for | was | declined. | sure | make | payments. | still | an | purchase | the | one | the | twice
hi i was at a restaurant later the week and when i went to look at my account i noticed that i got charged twice. i would like to get my money back from one of those transactions.,transaction_charged_twice _ look | and | the | at | get | that | week | transactions. | was | money | of | back | would | my | i | twice. | a | to | like | my | those | from | noticed | one | hi | i
why am i seeing a transfer fee on my bank statement?,transfer_fee_charged _ bank | a | transfer | why | am | statement? | my
i use my card internationally to manage payments and i just noticed that you are adding additional fees.  why?  i am a good customer and this has me thinking about leaving.,transfer_fee_charged _ about | you | me | adding | and | i | that | additional | this | am | why? | my | customer | fees. | thinking | payments | i |  | i | manage |  | a | card
i see a transfer fee but to my understand that should have been free what happened?,transfer_fee_charged _ happened? | understand | a | to | free | but | been | fee | transfer | have | see
why is there a fee for my transfer?,transfer_fee_charged _ for | a | fee | why | transfer?
i need to know how much it costs to transfer funds.,transfer_fee_charged _ costs | it | much | i | need | know | to
how do i transfer money into my account?,transfer_into_account _ my | money | transfer | do | account?
how do i transfer cash my into my account?,transfer_into_account _ cash | do | how | transfer | my | i
where can i find out how to transfer money into my account.,transfer_into_account _ money | where | find | account. | how | into | to | transfer
how can i add money to my account from another account i have?,transfer_into_account _ have? | from | another | my | how | i | add | i | account
i want to transfer a sum of money from another bank account i have into this one,transfer_into_account _ this | money | into | bank | i | transfer | one | i | of | have | sum
why can't the person i sent the money transfer to see it?,transfer_not_received_by_recipient _ person | see | i | the | sent | transfer | can't | why
why is my friend not getting a transaction arrival yet?,transfer_not_received_by_recipient _ a | transaction | friend | is | getting | my | arrival
when will i get my money? it's been too long.,transfer_not_received_by_recipient _ too | get | when | i | long. | been | my
what do i do if i completed a money transfer but the recipient hasn't received it?,transfer_not_received_by_recipient _ hasn't | completed | i | i | transfer | money | it? | if | the | what | recipient
i sent money to someone but they haven't gotten it what's going on?,transfer_not_received_by_recipient _ but | haven't | sent | i | what's | gotten | to | they | someone
how long is the transfer?,transfer_timing _ long | how | is
what is the estimated time on an urgent transfer from china?,transfer_timing _ transfer | an | what | china? | urgent | from | estimated
when will the money from a transfer be made available on my account?,transfer_timing _ my | a | transfer | on | money | the | account? | from | will
how long does it take transfers from europe to complete?,transfer_timing _ to | europe | how | transfers | long | it | complete?
how long will i have to wait for my money to be in my account?,transfer_timing _ account? | be | i | to | to | my | will | my | long | in
if you are waiting for verification it can take 10 minutes to 60 minutes to get results.you will hear from us once we have it.  please make sure your images are clear and photos of documents are readable. you have to be at least 18 years old and live withing the economic area of europe or in switzerland in order to open an account.,unable_to_verify_identity _ are | of | if | clear | will | make | are | you |  | results.you | of | take | an | verification | you | we | account. | 60 | have | the | to | it. | sure | are | and | in | area | or | from | to | get | documents | in | economic | open | be | old | to | 10 | us | once | switzerland | and | at | order
i have trouble proving my identity.,unable_to_verify_identity _ trouble | i | have | proving
my identity isn't being accepted what should i do?,unable_to_verify_identity _ what | identity | i | being | do? | accepted
what do i need to bring for identification?,unable_to_verify_identity _ to | for | bring | what | need
i am having trouble verifying my id.,unable_to_verify_identity _ my | i | id. | verifying
what do i need for the verification check?,verify_my_identity _ need | the | verification | i | for
how can i prove who i am?,verify_my_identity _ who | i | prove | am?
how can i prove i am me?,verify_my_identity _ how | am | prove | i
how do i change my identity?,verify_my_identity _ do | i | my | change
what is needed for the identity verification?,verify_my_identity _ is | the | needed | for
where did my money come from?,verify_source_of_funds _ did | where | my | money
can i see the source of my available money?,verify_source_of_funds _ money? | see | can | available | the | of
how can i look at where my available cash is coming from?,verify_source_of_funds _ i | is | where | cash | can | available | look | coming
is there a way for me to check my balance?,verify_source_of_funds _ a | way | balance? | to | for | me | there
how can i receive verification for the source of my funds?,verify_source_of_funds _ i | funds? | the | source | receive | of | can
i need to find the top up verification code,verify_top_up _ the | need | to | top | code | verification
tell me how to verify a top up.,verify_top_up _ to | top | tell | a | up.
this verifying the top up is annoying,verify_top_up _ the | verifying | annoying | is
where is the top-up verification code located?,verify_top_up _ the | where | verification | located?
where do i verify a top-up card?,verify_top_up _ card? | top-up | verify | i
i tried paying with my disposable virtual card earlier but it was rejected. what can i do to fix this?,virtual_card_not_working _ what | do | paying | earlier | it | can | was | this? | tried | virtual | my | fix | i | card
i can't make purchases with my virtual card.,virtual_card_not_working _ can't | make | virtual | card. | purchases
my virtual car is not working.,virtual_card_not_working _ my | car | is | not
i have a disposable card but it does not work?,virtual_card_not_working _ have | not | i | it | disposable | card | but
can i use my virtual card for recurring monthly payments?,virtual_card_not_working _ use | payments? | for | card | my | virtual | monthly
visa or mastercard?,visa_or_mastercard _ visa | or
is it ok if i use both visa and mastercard,visa_or_mastercard _ it | both | i | use | is | visa | mastercard
do i have an option between visa and mastercard?,visa_or_mastercard _ do | option | visa | an | have | between
is it possible to get both mastercard and visa card from you?,visa_or_mastercard _ visa | get | you? | possible | it | both | mastercard | is
please give me a mastercard instead.,visa_or_mastercard _ please | instead. | a | me
why and how soon do i have to have proof of identity to you?,why_verify_identity _ have | of | and | to | i | soon | to | why | do
what are the reasons i have to proof my identity to you?,why_verify_identity _ to | identity | to | what | the | you? | reasons | proof
i'm waiting for the id verification to go through still so is it too soon to use my account?,why_verify_identity _ still | too | go | for | waiting | to | the | it | through | my | soon | id | use
why do you have an identity check?,why_verify_identity _ you | check? | identity | do
why check my identity?,why_verify_identity _ my | why
i only got $20 of the $100 that i attempted to withdraw.,wrong_amount_of_cash_received _ that | attempted | the | of | only | got | $100 | i
hey i am standing in front of an atm here it only gave me 10 pounds even though i wanted to withdraw 30! seems like the app has 30 pounds what do i do??,wrong_amount_of_cash_received _ seems | atm | here | do | 30 | 10 | wanted | what | i | the | 30! | though | i | hey | like | has | withdraw | pounds | an | standing | it | i | front
i think something went wrong i didn't get the right amount.,wrong_amount_of_cash_received _ think | the | didn't | i | right | something | wrong
the atm didn't give me the amount i asked for,wrong_amount_of_cash_received _ the | give | i | amount | didn't | the | atm
i am at the atm and tried to withdraw 30 pounds and it only gave me 10 pounds what do i do?,wrong_amount_of_cash_received _ and | i | 30 | i | gave | at | me | what | do? | do | only | atm | withdraw | it | am
i tried using a foreign currency at an atm but the atm provided me an incorrect rate. why is that?,wrong_exchange_rate_for_cash_withdrawal _ an | provided | a | is | rate. | using | the | atm | me | an | currency | but | atm | that?
when i got cash i believe that the exchange rate was wrong,wrong_exchange_rate_for_cash_withdrawal _ wrong | believe | the | that | i | when | was | exchange
what is the correct exchange rate for getting cash,wrong_exchange_rate_for_cash_withdrawal _ cash | what | for | correct | exchange | getting
i didn't receive the correct exchange rate when i got cash.,wrong_exchange_rate_for_cash_withdrawal _ rate | cash. | i | receive | correct | exchange | i
can i make a withdraw in my home currency at an atm? i'm on vacation and am a bit worried because i don't have cash with me. is it possible to withdraw here without any additional costs or fees?,wrong_exchange_rate_for_cash_withdrawal _ currency | a | atm? | home | with | make | can | or | i | it | vacation | an | worried | am | have | additional | i'm | don't | my | and | to | i | me. | here | at | because | possible
